,Java,Javascript,C,C++,Python,Ruby,Matlab
Syntax,,,,,,,
explicit variable types,"int, float, double, long, Boolean, String, char",var,"int, float, double, long, string, char","int, float, double, long, boolean, string, char",,,
variable declaration,"String name = ""Tobias"";","var name = ""Tobias"";","string name = ""Tobias"";","string name = ""Tobias"";","name = ""Tobias"" or name = 'Tobias'","name = ""Tobias""",
if,,,,,,,
for,,,,,,,
while,,,,,,,
function declaration,,,,,,,
function calls,,,,,,,
imports,,,,,,,
print statements,,,,,,,
input,,,,,,,
output,,,,,,,
comments,,,,,,,
OOP: child class,,,,,,,
main method,,,,,,,
exceptions,,,,,,,
access,"public, private, protected",,,,,,
accessing class variables,,,,,Class_Name.Class_Variable,,
accessing class methods,,,,,,,
referencing self,this,this,,,self,,
operator overloading,,,,,,,
overloading,,,,,,,
polymorphism,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Style,,,,,,,
local variables,,,,,,,
constants,,,,,,,
class variables,,,,,,,
global variables,,,,,,,
class names,,,,,,,
"indentation (2 spaces, etc)",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Debugging,,,,,,,
common error messages,,,,,,,
unit testing,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protips/Other,semicolon,,segfaults,,indentation,,
,.equals,,,,"can't restrict access of local variables, always use provided setters and getters?",,